date,municipality,state,dengue_cases,zika_cases,chikungunya_cases,febre_amarela_cases,total_cases,source
2019-12-29,Diamantina,MG,5,0,0,0,5,sinan
2019-12-29,Teófilo Otoni,MG,5,0,0,0,5,sinan
2020-01-05,Diamantina,MG,17,0,0,0,17,sinan
2020-01-05,Teófilo Otoni,MG,9,0,0,0,9,sinan
2020-01-12,Diamantina,MG,27,0,1,0,28,sinan
2020-01-12,Teófilo Otoni,MG,11,0,0,0,11,sinan
2020-01-19,Diamantina,MG,40,0,0,0,40,sinan
2020-01-19,Teófilo Otoni,MG,23,1,0,0,24,sinan
2020-01-26,Diamantina,MG,25,0,0,0,25,sinan
2020-01-26,Teófilo Otoni,MG,23,0,0,0,23,sinan
2020-02-02,Diamantina,MG,82,0,0,0,82,sinan
2020-02-02,Teófilo Otoni,MG,46,0,0,0,46,sinan
2020-02-09,Diamantina,MG,52,0,0,0,52,sinan
2020-02-09,Teófilo Otoni,MG,83,0,3,0,86,sinan
2020-02-16,Diamantina,MG,44,0,0,0,44,sinan
2020-02-16,Teófilo Otoni,MG,67,0,2,0,69,sinan
2020-02-23,Diamantina,MG,48,0,0,0,48,sinan
2020-02-23,Teófilo Otoni,MG,99,2,3,0,104,sinan
2020-03-01,Diamantina,MG,59,0,0,0,59,sinan
2020-03-01,Teófilo Otoni,MG,139,1,6,0,146,sinan
2020-03-08,Diamantina,MG,41,0,0,0,41,sinan
2020-03-08,Teófilo Otoni,MG,101,1,6,0,108,sinan
2020-03-15,Diamantina,MG,20,0,0,0,20,sinan
2020-03-15,Teófilo Otoni,MG,62,2,4,0,68,sinan
2020-03-22,Diamantina,MG,11,0,0,0,11,sinan
2020-03-22,Teófilo Otoni,MG,108,2,3,0,113,sinan
2020-03-29,Diamantina,MG,25,0,0,0,25,sinan
2020-03-29,Teófilo Otoni,MG,131,2,6,0,139,sinan
2020-04-05,Diamantina,MG,23,0,1,0,24,sinan
2020-04-05,Teófilo Otoni,MG,178,1,11,0,190,sinan
2020-04-12,Diamantina,MG,21,0,0,0,21,sinan
2020-04-12,Teófilo Otoni,MG,189,0,34,0,223,sinan
2020-04-19,Diamantina,MG,19,0,0,0,19,sinan
2020-04-19,Teófilo Otoni,MG,158,0,17,0,175,sinan
2020-04-26,Diamantina,MG,7,0,0,0,7,sinan
2020-04-26,Teófilo Otoni,MG,130,7,23,0,160,sinan
2020-05-03,Diamantina,MG,4,0,0,0,4,sinan
2020-05-03,Teófilo Otoni,MG,160,1,11,0,172,sinan
2020-05-10,Diamantina,MG,1,0,0,0,1,sinan
2020-05-10,Teófilo Otoni,MG,131,2,27,0,160,sinan
2020-05-17,Diamantina,MG,6,0,0,0,6,sinan
2020-05-17,Teófilo Otoni,MG,102,0,20,0,122,sinan
2020-05-24,Diamantina,MG,3,0,0,0,3,sinan
2020-05-24,Teófilo Otoni,MG,71,3,13,0,87,sinan
2020-05-31,Diamantina,MG,4,0,1,0,5,sinan
2020-05-31,Teófilo Otoni,MG,36,0,3,0,39,sinan
2020-06-07,Diamantina,MG,1,0,0,0,1,sinan
2020-06-07,Teófilo Otoni,MG,30,1,4,0,35,sinan
2020-06-14,Diamantina,MG,0,0,0,0,0,sinan
2020-06-14,Teófilo Otoni,MG,34,2,4,0,40,sinan
