
Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-08-06;2,2;971,3;13,3;24;17,6;12,8;77,8;48;7,1;,8;
2020-08-07;0;971;12,9;25,1;20,1;14,9;65,2;41;7,3;1,3;
2020-08-08;1;970,9;15,5;23,6;19;16,1;81,2;55;8;,9;
2020-08-09;0;969,4;14,9;25,6;20;15,7;74,5;45;8,2;,6;
2020-08-10;,2;966,9;15,8;22,6;18,9;15,5;82,7;65;5,1;,7;
2020-08-11;6;965,5;17,2;23,3;18,8;16,9;90,7;71;7,2;,9;
2020-08-12;9,6;964,9;16,9;24,8;20,3;18;82,1;57;5,2;,8;
2020-08-13;6,4;965,1;16,6;26;21;18,2;77,5;48;6,7;1,4;
2020-08-14;0;963,9;15,4;25,6;20,2;16,7;75,3;51;6,5;,9;
2020-08-15;0;962;15,9;28,3;21,9;17,6;71,1;40;6,4;1;
2020-08-16;0;962,4;17,5;28,5;23;19,8;73,3;45;6;,9;
2020-08-17;0;962,8;18,4;28,7;22,9;19,6;76,7;50;8,2;1,8;
2020-08-18;0;962,9;17,1;28,1;22,7;19,3;72,5;45;7,5;2;
2020-08-19;0;963,3;17,2;27;22;19;75,2;53;6;1,1;
2020-08-20;0;962,9;17,4;28,4;22,7;20,2;74,1;41;4,3;,7;
2020-08-21;0;963,1;17,2;25,5;22;19,2;75,2;56;5,1;,8;
2020-08-22;0;964,8;15,7;22,5;18,4;18,2;84,4;73;7,5;1,8;
2020-08-23;4,4;967,1;14,5;18,4;16,5;15,6;88;72;6,6;1,1;
2020-08-24;,4;966;13,6;22;17,7;15;78,3;54;5,2;,4;
2020-08-25;0;963,9;10,5;24,5;17,5;11,1;68,8;31;7;1;
2020-08-26;0;963,5;10;26,8;18,4;10,1;62,4;34;7,9;1;
2020-08-27;0;964,8;13,7;26,2;19,5;13,1;71;48;5,7;,6;
2020-08-28;0;965,5;15,5;27,1;20,8;16,4;73,6;42;6,5;1;
2020-08-29;,4;964,9;15,8;28,1;21,8;17,8;70,8;39;8,1;1,6;
2020-08-30;0;965;16,6;28,9;23,1;19,5;69;42;7,6;1,4;
2020-08-31;0;966,4;17;30,3;24,1;20,2;67,4;37;8;2,2;
2020-09-01;0;968,5;16,1;27,4;22,7;19,3;68,3;42;8,5;2,3;
2020-09-02;0;967,4;15,1;27,4;21,8;18;67,5;42;9,4;2,4;
2020-09-03;0;966,1;13,9;28,4;21,2;16,3;66,9;32;10,6;1,8;
2020-09-04;,2;966,8;14,2;28,1;21,6;15,9;66,3;35;7,7;1,3;
2020-09-05;0;966,8;14,1;28,9;22,4;16,5;63,5;32;8,7;1,6;
2020-09-06;0;964,9;15,4;28,5;22,5;17,7;66,5;39;8,8;1,6;
2020-09-07;0;962,2;15,7;29,9;23,5;19,6;65,6;31;6,3;1;
2020-09-08;0;962,9;16;29,5;23,6;19,5;65,8;33;9,6;1,8;
2020-09-09;0;965;14,4;29,6;22,6;16,1;63,6;33;8,5;1,5;
2020-09-10;0;966,6;14,2;28,9;22,6;17,9;61,8;32;10,6;1,8;
2020-09-11;0;964,4;14,2;29,6;21,9;14,9;65;31;6,8;1,1;
2020-09-12;0;965,6;14,4;29;22,8;18,3;62,4;34;10,8;2,4;
2020-09-13;0;967,1;14,7;28,9;22,8;18,1;63,6;32;9,6;3,1;
2020-09-14;4;967,7;15,6;27,9;22,1;18,5;70,3;33;13;1,3;
2020-09-15;0;965,6;14,8;30,4;23;18,5;63,6;30;6,8;1,4;
