date,municipality,dengue,zika,chik,other,chikungunya
2019-12-29,Diamantina,5,0,0,0,0
2019-12-29,Teófilo Otoni,5,0,0,0,0
2020-01-05,Diamantina,17,0,0,0,0
2020-01-05,Teófilo Otoni,9,0,0,0,0
2020-01-12,Diamantina,27,0,0,0,1
2020-01-12,Teófilo Otoni,11,0,0,0,0
2020-01-19,Diamantina,40,0,0,0,0
2020-01-19,Teófilo Otoni,23,1,0,0,0
2020-01-26,Diamantina,25,0,0,0,0
2020-01-26,Teófilo Otoni,23,0,0,0,0
2020-02-02,Diamantina,82,0,0,0,0
2020-02-02,Teófilo Otoni,46,0,0,0,0
2020-02-09,Diamantina,52,0,0,0,0
2020-02-09,Teófilo Otoni,83,0,0,0,3
2020-02-16,Diamantina,44,0,0,0,0
2020-02-16,Teófilo Otoni,67,0,0,0,2
2020-02-23,Diamantina,48,0,0,0,0
2020-02-23,Teófilo Otoni,99,2,0,0,3
2020-03-01,Diamantina,59,0,0,0,0
2020-03-01,Teófilo Otoni,139,1,0,0,6
2020-03-08,Diamantina,41,0,0,0,0
2020-03-08,Teófilo Otoni,101,1,0,0,6
2020-03-15,Diamantina,20,0,0,0,0
2020-03-15,Teófilo Otoni,62,2,0,0,4
2020-03-22,Diamantina,11,0,0,0,0
2020-03-22,Teófilo Otoni,108,2,0,0,3
2020-03-29,Diamantina,25,0,0,0,0
2020-03-29,Teófilo Otoni,131,2,0,0,6
2020-04-05,Diamantina,23,0,0,0,1
2020-04-05,Teófilo Otoni,178,1,0,0,11
2020-04-12,Diamantina,21,0,0,0,0
2020-04-12,Teófilo Otoni,189,0,0,0,34
2020-04-19,Diamantina,19,0,0,0,0
2020-04-19,Teófilo Otoni,158,0,0,0,17
2020-04-26,Diamantina,7,0,0,0,0
2020-04-26,Teófilo Otoni,130,7,0,0,23
2020-05-03,Diamantina,4,0,0,0,0
2020-05-03,Teófilo Otoni,160,1,0,0,11
2020-05-10,Diamantina,1,0,0,0,0
2020-05-10,Teófilo Otoni,131,2,0,0,27
2020-05-17,Diamantina,6,0,0,0,0
2020-05-17,Teófilo Otoni,102,0,0,0,20
2020-05-24,Diamantina,3,0,0,0,0
2020-05-24,Teófilo Otoni,71,3,0,0,13
2020-05-31,Diamantina,4,0,0,0,1
2020-05-31,Teófilo Otoni,36,0,0,0,3
2020-06-07,Diamantina,1,0,0,0,0
2020-06-07,Teófilo Otoni,30,1,0,0,4
2020-06-14,Diamantina,0,0,0,0,0
2020-06-14,Teófilo Otoni,34,2,0,0,4
2020-06-21,Diamantina,5,0,0,0,0
2020-06-21,Teófilo Otoni,17,0,0,0,2
2020-06-28,Diamantina,0,0,0,0,0
2020-06-28,Teófilo Otoni,12,0,0,0,5
2020-07-05,Diamantina,1,0,0,0,0
2020-07-05,Teófilo Otoni,5,0,0,0,1
2020-07-12,Diamantina,0,0,0,0,0
2020-07-12,Teófilo Otoni,5,0,0,0,3
2020-07-19,Diamantina,0,0,0,0,0
2020-07-19,Teófilo Otoni,4,0,0,0,2
2020-07-26,Diamantina,0,0,0,0,0
2020-07-26,Teófilo Otoni,2,0,0,0,3
2020-08-02,Diamantina,1,0,0,0,0
2020-08-02,Teófilo Otoni,2,0,0,0,2
2020-08-09,Diamantina,0,0,0,0,0
2020-08-09,Teófilo Otoni,2,0,0,0,4
2020-08-16,Diamantina,1,0,0,0,0
2020-08-16,Teófilo Otoni,1,0,0,0,0
2020-08-23,Diamantina,0,0,0,0,0
2020-08-23,Teófilo Otoni,2,1,0,0,2
2020-08-30,Diamantina,1,0,0,0,0
2020-08-30,Teófilo Otoni,3,0,0,0,3
2020-09-06,Diamantina,0,0,0,0,0
2020-09-06,Teófilo Otoni,3,0,0,0,4
2020-09-13,Diamantina,2,0,0,0,0
2020-09-13,Teófilo Otoni,3,0,0,0,2
2020-09-20,Diamantina,0,0,0,0,0
2020-09-20,Teófilo Otoni,0,0,0,0,1
2020-09-27,Diamantina,0,0,0,0,0
2020-09-27,Teófilo Otoni,1,0,0,0,1
2020-10-04,Diamantina,1,0,0,0,0
2020-10-04,Teófilo Otoni,0,0,0,0,0
2020-10-11,Diamantina,1,0,0,0,0
